# X,     Y
  0.00,  2.08
  0.00, -1.14
  0.14, -1.75
  0.46,  0.86
  0.70,  2.23
  0.73, -0.21
  0.93,  2.12
  0.99,  0.66
  1.02,  1.05
  1.51,  1.64
  1.57,  2.93
  1.73,  2.83
  1.98,  2.21
  2.09,  1.92
  2.09,  3.65
  2.10,  4.04
  2.50,  3.45
  2.69,  4.60
  2.79,  2.78
  3.35,  5.78
  3.43,  5.02
  3.60,  5.74
  4.00,  5.94
  4.39,  5.78
  4.84,  4.86
  5.00,  4.28
  5.09,  4.70
  5.20,  4.23
  5.43,  3.96
  5.49,  3.85
  5.52,  3.64
  5.85,  3.30
  6.40, -0.40
  6.58,  3.38
  7.11,  2.73
  7.24,  1.30
  7.50, -0.77
  7.67,  0.09
  8.43,  0.93
  8.46, -0.27
  8.46, -0.63
  8.74,  0.75
  8.75, -0.73
  8.95,  2.30
  9.17,  3.31
  9.38,  3.77
  9.39,  4.26
  9.47,  4.40
  9.79,  7.31
  9.94,  9.12
 10.00,  8.62
